question,intent,entity,answer
Hội chứng chèn ép tĩnh mạch chủ trên,Điều trị,Superior vena cava syndrome,"Phương pháp ngắn hạn: Ngẩng cao đầu đảm bảo đường thở của họ được thông thoáng,  thuốc hỗ trợ làm tan cục máu đông, thuốc lợi tiểu, thuốc corticosteroid giúp giảm sưng và giảm kích thước khối u..., Nong tĩnh mạch và đặt stent"
Hội chứng chèn ép tĩnh mạch chủ trên,Nguyên nhân,Superior vena cava syndrome,"Mắc các bệnh lí về mạch máu: Phình động mạch chủ, viêm mạch,...; Bệnh lý viêm nhiễm như bệnh lao, giang mai,...; Trung thất bị xơ hóa"
Tăng áp động mạch phổi,Triệu chứng,Pulmonary hypertension,"Mệt mỏi, Đau hoặc tức ngực, Chóng mặt hoặc ngất xỉu, Nhịp nhanh hoặc tim đập thình thịch, Khó thở, ban đầu khi tập thể dục và cuối cùng khó thở cả khi nghỉ ngơi"
Tăng áp động mạch phổi,Điều trị,Pulmonary hypertension,"Sử dụng thuốc: thuốc giãn mạch máu, chất kích thích guanylate cyclase, Thuốc mở rộng mạch máu, thuốc tăng lưu lượng máu,...; Phẫu thuật: phẫu thuật bóc nội mạc động mạch phổi, Nong mạch phổi bằng bóng; Phá vách liên nhĩ"
Tăng áp động mạch phổi,Nguyên nhân,Pulmonary hypertension,"Do tăng áp động mạch phổi: PAH vô căn, PAH liên quan yếu tố di truyền, PAH do thuốc, Bệnh tắc tĩnh mạch phổi; Do bệnh tim trái; Do bệnh phổi hoặc thiếu oxy: bệnh phổi tắc nghẽn mãn tính, bệnh phổi kẽ; Do cục máu đông"
Viêm phổi kẽ,Triệu chứng,Interstitial pneumonia,"Ho khan, hụt hơi, Khó thở, đặc biệt là khi gắng sức, mệt mỏi"
Viêm phổi kẽ,Điều trị,Interstitial pneumonia,"Thuốc điều trị viêm phổi kẽ, Liệu pháp oxy, Bài tập phục hồi chức năng phổi"
Viêm phổi kẽ,Nguyên nhân,Interstitial pneumonia,"Yếu tố nghề nghiệp và môi trường: bụi silic, sợi amiăng, bụi mịn, phân chim...; Thuốc: thuốc hóa trị, thuốc trợ tim; thuốc kháng sinh; thuốc chống viêm; Vấn đề sức khỏe: Viêm khớp dạng thấp, xơ cứng bì, viêm da cơ và viêm đa cơ, bệnh mô liên kết hỗn hợp"
Nhiễm trùng đường tiết niệu,Triệu chứng,Urinary tract infection,Nóng rát khi đi tiểu; Tăng tần suất đi tiểu mà không tiểu được nhiều; Tăng tính khẩn cấp của việc đi tiểu; Nước tiểu có máu; Nước tiểu đục; Nước tiểu có màu như nước trà đặc; Nước tiểu nặng mùi; Đau vùng chậu ở phụ nữ; Đau trực tràng ở nam giới
Nhiễm trùng đường tiết niệu,Điều trị,Urinary tract infection,"Nhiễm trùng đơn giản: Sử dụng sulfamethoxazole (Bactrim, Septra…), Fosfomycin (Monurol), Nitrofurantoin (Macrodantin, Macrobid),..; Nhiễm trùng thường xuyên: Sử dụng kháng sinh, Liệu pháp estrogen; Nhiễm trùng năng: dùng các loại kháng sinh và tiêm tĩnh mạch"
Nhiễm trùng đường tiết niệu,Nguyên nhân,Urinary tract infection,Do vi khuẩn Escherichia coli hay (E.coli) xâm nhập
Viêm bàng quang,Triệu chứng,Cystitis,"Tiểu ra máu, nước tiểu đục hoặc có mùi hôi; Đi tiểu nhiều lần trong ngày hơn bình thường, mỗi lần chỉ tiểu ra một ít; Đau hoặc có cảm giác nóng rát khi đi tiểu; Lúc nào cũng có cảm giác phải đi tiểu gấp; Đau trằn bụng dưới; Đau lưng ở hai bên hoặc đau ở giữa lưng"
Viêm bàng quang,Điều trị,Cystitis,"Do vi khuẩn: dùng kháng sinh; Do các nguyên nhân khác: Sử dụng thuốc, tránh dùng hóa chất và dùng kháng sinh; Điều trị hỗ trợ: dùng khăn hay túi chườm nóng vùng bụng, uống nhiều nước"
Viêm bàng quang,Nguyên nhân,Cystitis,"Vi khuẩn Esscherichia coli, Chlamydia, Mycoplasma, Proteus,...; Viêm bàng quang kẽ; Do thuốc: các loại thuốc hóa trị như cyclophosphamide và ifosfamide; Do xạ trị, đặc biệt là xạ trị vùng khung chậu; Do đặt ống thông tiểu"
Suy thận cấp,Triệu chứng,Acute kidney failure,"Giai đoạn 1: Mệt mỏi, buồn nôn, nôn, khó thở, đau ngực, nước tiểu ít dần, vô niệu; Giai đoạn 2: thiểu niệu, vô niệu, tăng ure máu, chảy máu nội tạng, viêm màng ngoài tim, biểu hiện rối loạn não; Giai đoạn 3: mất nước do đái nhiều, vẫn tăng urê, kali máu, rối loạn điện giải; Giai đoạn 4: nồng độ creatinin huyết tương, ure huyết tương tăng"
Suy thận cấp,Điều trị,Acute kidney failure,"Giai đoạn tấn công của các tác nhân: bù đủ nước khi có mất nước, loại bỏ tắc nghẽn đường tiểu, rửa dạ dày khi uống mật cá trắm trong 6 giờ đầu,...; Giai đoạn thiểu niệu, vô niệu: đảm bảo cân bằng lượng nước vào ít hơn nước ra, Bù đủ thể tích tuần hoàn càng sớm, điều trị tăng Kali máu; Giai đoạn chỉ định lọc máu: thực hiện chỉ định lọc máu và liệu pháp điều trị nội khoa; Giai đoạn đái trở lại: tiểu > 3 lít/24h nên bù dịch bằng đường truyền tĩnh mạch, Khi tiểu < 3 lít/24h, không có rối loạn điện giải nặng: cho uống Oresol; Giai đoạn phục hồi chức năng: chế độ ăn cần tăng đạm khi ure máu đã về mức bình thường, Theo dõi định kỳ theo chỉ dẫn thầy thuốc, tiếp tục điều trị nguyên nhân nếu có"
Suy thận cấp,Nguyên nhân,Acute kidney failure,"Sốc do giảm thể tích: chảy máu, mất nước; Sốc do tim: nhồi máu cơ tim, hội chứng ép tim; Sốc do nhiễm khuẩn: nhiễm khuẩn huyết, nhiễm khuẩn đường tiêu hóa,...; Sốc do quá mẫn: sốc phản vệ, Sốc do chấn thương: hội chứng vùi lấp, gãy xương lớn; Sốc do tan máu cấp: gây tắc ống thận do hemoglobin, myoglobin; Chửa đẻ: nhiễm khuẩn do phá thai, sẩy thai, sản giật"
Suy thận mạn,Triệu chứng,Chronic kidney failure,"Thiếu máu: da xanh, niêm mạc nhợt, hoa mắt, chóng mặt; Tăng huyết áp; Triệu chứng về tim mạch: viêm màng ngoài tim do ure máu cao; Triệu chứng thần kinh-cơ: chuột rút, cảm giác dị cảm, kiến bò, bỏng rát ở chân; Về hệ xương khớp: loãng xương, viêm xương, đau xương; Triệu chứng về tiêu hóa: chán ăn, buồn nôn"
Suy thận mạn,Điều trị,Chronic kidney failure,"Điều trị nguyên nhân: bằng các thuốc và chế độ ăn uống, luyện tập, giảm cân, thay đổi thói quen sinh hoạt; Điều trị bằng chế độ ăn, sinh hoạt: thay đổi lối sống, bỏ thuốc lá, rượu bia, tập thể dục hàng ngày, tránh các hoạt động mạnh, giảm lượng protein, giảm muối trong khẩu phần ăn hàng ngày; Điều trị triệu chứng: Thuốc huyết áp cho các trường hợp mắc tăng huyết áp, Kiểm soát rối loạn lipid máu: Điều trị bằng các thuốc giảm nồng độ các cholesterol xấu; Điều trị thiếu máu: tiêm dưới da, bổ sung sắt, acid folic; Điều trị loãng xương: bổ sung Vitamin D, và canxi, hạn chế phospho trong khẩu phần ăn; Điều trị rối loạn điện giải"
Suy thận mạn,Nguyên nhân,Chronic kidney failure,"Các bệnh lý ở cầu thận: chiếm 40% bệnh lý gây suy thận mạn bao gồm: viêm cầu thận cấp, hội chứng thận hư, viêm cầu thận mạn, viêm cầu thận do các bệnh hệ thống,....; Bệnh ống kẽ thận mạn do nguyên nhân nhiễm khuẩn hoặc không nhiễm khuẩn; Bệnh đái tháo đường  và tăng huyết áp; Bẩm sinh hoặc di truyền; Bệnh tự miễn; Nhiễm độc trong thời gian kéo dài"
Viêm thận bể thận,Triệu chứng,Pyelonephritis,"Sốt trên 38,9°C; Đau ở bụng, lưng, bên hông hoặc bẹn; Tiểu đau, tiểu rát; Nước tiểu đục; Xuất hiện mủ hoặc máu trong nước tiểu; Tiểu gấp hoặc tiểu dắt; Nước tiểu có mùi tanh"
Viêm thận bể thận,Điều trị,Pyelonephritis,"Sử dụng kháng sinh: Aminopenicillins, Aminoglycosides, Aztreonam, Cephalosporines thế hệ 2 hay thế hệ 3, Cotrimoxazol và Fluoroquinolones; Điều trị tại bệnh viện: sử dụng thuốc, cấy nước tiểu theo chỉ định của bác sĩ; Phẫu thuật"
Viêm thận bể thận,Nguyên nhân,Pyelonephritis,"vi khuẩn gram âm như E.Coli, Klebsiella, Proteus mirabilis và Enterobacter"
Viêm cầu thận,Triệu chứng,Glomerulonephritis,"Phù là triệu chứng lâm sàng đặc trưng cho bệnh lý cầu thận; Nặng mặt, nề 2 mi mắt, phù 2 chân, phù mềm ấn lõm; Phù thường gặp trong 10 ngày đầu và giảm đi nhanh chóng khí bệnh nhân đái nhiều; Tăng huyết áp kéo dài gây tổn thương đáy mắt, suy tim, tai biến mạch máu não,...; Đái ra máu đại thể trong viêm cầu thận cấp"
Viêm cầu thận,Điều trị,Glomerulonephritis,"Nghỉ ngơi; Phù: dùng thuốc theo chỉ định; Tăng huyết áp có thể sử dụng các nhóm thuốc như lợi tiểu quai, chẹn kênh canxi, chẹn beta; Corticoid liệu pháp và các thuốc ức chế miễn dịch trong viêm cầu thận mạn tính"
Viêm cầu thận,Nguyên nhân,Glomerulonephritis,"Viêm họng hay nhiễm khuẩn ngoài da do liên cầu khuẩn tan máu beta nhóm A ở một số type gây viêm cầu thận cấp tính; Lupus ban đỏ hệ thống; Đái tháo đường; Bệnh Berger; Xơ hóa cầu thận khu trú; Tăng huyết áp không kiểm soát; Một số thuốc, hóa chất; Nguyên nhân khác: viêm mao mạch dị ứng Henoch- Scholein, viêm mạch nhỏ dạng nút, viêm cầu thận trong bệnh osler, hội chứng Goodpasture,..."
Hẹp niệu đạo,Triệu chứng,Urethral stricture,Giảm lưu lượng nước tiểu và phải cố rặn tiểu; Nước tiểu phun thành 2 tia; Nước tiểu chảy nhỏ giọt sau khi dòng nước tiểu chính kết thúc; Có máu trong tinh dịch hoặc nước tiểu; Nước tiểu có máu hoặc sẫm màu; Cảm giác muốn đi tiểu thường xuyên; Đi tiểu đau hoặc khó tiểu; Tăng tần suất đi tiểu; Đau vùng bụng dưới và xương chậu; Giảm lực xuất tinh và lượng tinh dịch; Nhiễm trùng đường tiết niệu
Hẹp niệu đạo,Điều trị,Urethral stricture,"Nong niệu đạo; Xẻ lạnh niệu đạo; Phẫu thuật tạo hình niệu đạo: Tạo hình niệu đạo kiểu tận – tận, Tạo hình bằng niêm mạc miệng, Tạo hình niệu đạo bằng vạt da có cuống; Đặt stent"
Hẹp niệu đạo,Nguyên nhân,Urethral stricture,"Viêm nhiễm; Tuyến tiền liệt phì đại; Ung thư; Chấn thương, tổn thương niệu đạo; Bẩm sinh; Bệnh STDs; Lichen xơ cứng; Có khoảng 30% trường hợp hẹp niệu đạo nhưng không rõ nguyên nhân"
Tiểu không tự chủ,Triệu chứng,Urinary incontinence,"Són tiểu không kiểm soát khi ho, cười, hắt hơi, tập thể dục; Đi tiểu nhiều lần cả ngày và / hoặc ban đêm"
Tiểu không tự chủ,Điều trị,Urinary incontinence,"Thuốc điều trị tiểu không kiểm soát: Oxybutynin, Oxybutynin XL, Oxybutynin TDDS, Tolterodine, Solifenacin; Kiểm soát triệu chứng bằng cách thay đổi lối sống tích cực, cải thiện chế độ ăn uống lành mạnh; Tiêm Botulinum; Sử dụng cơ thắt niệu đạo nhân tạo; Đặt băng nâng niệu đạo"
Tiểu không tự chủ,Nguyên nhân,Urinary incontinence,"Tiểu không tự chủ tạm thời: Rượu bia, Caffeine, Đồ uống có gas, chất tạo ngọt nhân tạo, Socola, Ớt; Thực phẩm chứa nhiều gia vị, đường, axit, đặc biệt là trái cây họ cam quýt; Thuốc: thuôc liên quan đến tim mạch, huyết áp, thuốc an thần, thuốc giãn cơ; Cơ thể tiêu thụ quá nhiều Vitamin C; Tiểu không kiểm soát liên tục, thường xuyên: Thai kỳ, Sinh thường, Tuổi tác, Thời kỳ mãn kinh, Phì đại tuyến tiền liệt, Ung thư tuyến tiền liệt, Sự tắc nghẽn, Rối loạn thần kinh thực vật"
Hội chứng thận hư,Triệu chứng,Nephrotic syndrome,"Tăng cân; Mệt mỏi: Cảm giác kiệt sức, không có năng lượng; Chán ăn; Phù nề: Sưng tấy ở chân, mặt và các vùng khác do giữ nước; Proteinuria: Lượng protein cao trong nước tiểu do thận không thể giữ protein; Hypoalbuminemia: Lượng albumin thấp trong máu"
Hội chứng thận hư,Điều trị,Nephrotic syndrome,Điều trị nguyên nhân gây bệnh; Ức chế angiotensin; Hạn chế natri; Statin; Dùng thuốc lợi tiểu nếu có quá tải dịch; Cắt thận (hiếm khi xảy ra)
Hội chứng thận hư,Nguyên nhân,Nephrotic syndrome,Bệnh cầu thận sang thương tối thiểu (Minimal change disease – MCD); Bệnh xơ hóa cầu thận khu trú từng đoạn (Focal segmental glomerulosclerosis – FSGS); Bệnh màng thận (Membranous nephropathy – MN)
U nang thận,Triệu chứng,Kidney cyst,"Đau hông, bụng hoặc lưng do khối u to lên, chèn ép các mô lân cận; Nước tiểu có lẫn máu khi nang xuất huyết; Sốt khi nang nhiễm khuẩn; Tăng huyết áp do khối u chèn ép động mạch thận"
U nang thận,Điều trị,Kidney cyst,Chọc hút dịch nang và bơm chất làm đầy; Phẫu thuật cắt bỏ u nang
U nang thận,Nguyên nhân,Kidney cyst,Tuổi tác cao(thường trên 50 tuổi); Nam giới có nguy cơ bị u nang nhiều hơn nữ giới; Đang chạy thận nhân tạo; Người bệnh thận mạn tính; Người huyết áp cao; Người thường xuyên hút thuốc
Thận đa nang,Triệu chứng,Polycystic kidney,Huyết áp cao; Đau lưng hoặc bên hông; Có máu trong nước tiểu; Cảm giác đầy bụng; Tăng kích thước bụng do thận to; Nhức đầu; Sỏi thận; Suy thận; Nhiễm trùng đường tiết niệu hoặc thận
Thận đa nang,Điều trị,Polycystic kidney,"Nhiễm khuẩn thận điều trị bằng kháng sinh phù hợp; Tăng huyết áp điều trị bằng các nhóm thuốc hạ huyết áp; Cắt thận nếu nang thận quá to, biến chứng tiểu máu, nhiễm trùng tái phát (3); Suy thận, điều trị bảo tồn và thay thế khi suy thận giai đoạn cuối bằng lọc máu và ghép thận; Với những trường hợp nang không quá lớn, có thể lọc màng bụng,..."
Thận đa nang,Nguyên nhân,Polycystic kidney,"Chất hóa học hoặc thuốc, bao gồm các chất chống oxy hóa (như diphenyl-thiazole và nordihydro guaiaretic acid), alloxan và steptozotoxin, lithium cloride và cis-platinium; Các gen bất thường gây ra bệnh thận đa nang"
Tắc nghẽn niệu quản,Triệu chứng,Ureteral obstruction,"Tiểu khó; Dòng tiểu chảy chậm, chảy rò rỉ, nhỏ giọt; Cảm giác lúc nào cũng buồn tiểu, nhất là ban đêm; Cảm thấy bàng quang lúc nào cũng đầy; Giảm lượng nước tiểu đào thải ra ngoài; Có máu trong nước tiểu"
Tắc nghẽn niệu quản,Điều trị,Ureteral obstruction,Phẫu thuật; Đặt stent: hương pháp điều trị ít xâm lấn hơn là đặt một ống stent trong niệu quản hay thận bị tắc nghẽn
Tắc nghẽn niệu quản,Nguyên nhân,Ureteral obstruction,"Các chấn thương như gãy xương chậu; Khối u di căn tới thận, bàng quang, tử cung hay đại tràng; Các bệnh tại đường tiêu hóa; Sỏi niệu quản"
Sỏi bàng quang,Triệu chứng,Bladder stones,Đau bụng dưới; Đau khi đi tiểu; Đi tiểu thường xuyên; Khó đi tiểu hoặc dòng nước tiểu bị gián đoạn; Có máu trong nước tiểu; Nước tiểu đục hoặc có màu sẫm bất thường
Sỏi bàng quang,Điều trị,Bladder stones,"Dùng thuốc: Thuốc giảm đau, chống viêm, Thuốc giãn cơ trơn tiết niệu, Thuốc kiềm hóa nước tiểu, Thuốc lợi tiểu, Thuốc kháng sinh; Phẫu thuật: Tán sỏi bàng quang, Mổ mở lấy sỏi"
Sỏi bàng quang,Nguyên nhân,Bladder stones,"Phì đại tuyến tiền liệt; Các tổn thương thần kinh; Viêm bàng quang; Các dụng cụ, thiết bị y tế; Sỏi thận"
Thận ứ nước,Triệu chứng,Hydronephrosis,"Nước tiểu tắc nghẽn nhanh, đau cấp tính vùng hông lưng (đau quặn thận), vùng trên xương mu (đau tức bàng quang), Tắc nghẽn đường tiểu trên"
Thận ứ nước,Điều trị,Hydronephrosis,"Loại bỏ nguyên nhân tắc nghẽn; Tái lập lưu thông đường dẫn tiểu: Cắt nối đường dẫn niệu, Đặt ống thông JJ niệu quản, Đặt thông niệu đạo hoặc dẫn lưu bàng quang"
Thận ứ nước,Nguyên nhân,Hydronephrosis,"Tắc nghẽn đường tiểu trên (thận và niệu quản): Sỏi thận tiết niệu, Hẹp niệu quản, Khối u;  Tắc nghẽn đường tiểu dưới (cổ bàng quang và niệu đạo)"
Ung thư niệu quản,Triệu chứng,Ureteral cancer,"Tiểu ra máu; Tiểu rát, khó tiểu; Đau lưng; Đau rát khi đại tiện; Sưng bàn chân; Sụt cân"
Ung thư niệu quản,Điều trị,Ureteral cancer,"Phẫu thuật, Hóa trị, Xạ trị"
Ung thư niệu quản,Nguyên nhân,Ureteral cancer,"Niệu quản phát triển lỗi (đột biến) trong ADN, Đột biến làm cho các tế bào nhân lên nhanh chóng"
Hội chứng bàng quang tăng hoạt,Triệu chứng,Overactive Bladder,"Tiểu gấp, thường có cảm giác bất chợt muốn đi tiểu, không nhịn tiểu được và cần phải đi tiểu ngay; són tiểu theo sau cảm giác tiểu gấp"
Hội chứng bàng quang tăng hoạt,Điều trị,Overactive Bladder,"Thay đổi hành vi: Điều chỉnh chế độ ăn uống, Điều chỉnh lượng nước uống, Các kỹ thuật tập luyện; Các biện pháp dùng thuốc: Các thuốc kháng muscarin, flavoxate, các thuốc chống trầm cảm ba vòng (imipramin, amitriptyline, duloxetine), nhóm thuốc chẹn alpha (tamsulosin, alfuzosin, doxazosin, ...), Thuốc mới mirabegron"
Hội chứng bàng quang tăng hoạt,Nguyên nhân,Overactive Bladder,"Rối loạn thần kinh trong bệnh Parkinson, đột quỵ, bệnh xơ hóa tủy, tổn thương tủy sống do chấn thương, bệnh đái tháo đường,...; Những bất thường trong bàng quang như các khối u hoặc sỏi bàng quang; Uống cà phê hoặc rượu quá mức"
Hội chứng đau bàng quang,Triệu chứng,Bladder pain syndrome,"Triệu chứng đau bàng quang ở nam giới: Đau, áp lực ở vùng bụng dưới, nhất là khu vực xung quanh bàng quang, Đau, rát khi tiểu tiện, Tiểu thường xuyên, nhiều hơn bình thường, Cảm giác tiểu không hết, Nước tiểu có màu đỏ hoặc hồng do có lẫn máu trong nước tiểu; Triệu chứng đau bàng quang ở nữ giới: Đau, áp lực vùng bụng dưới,Đau khi tiểu tiện, nhiều người cảm giác bị rát, Tiểu không hết, tiểu nhiều hơn bình thường"
Hội chứng đau bàng quang,Điều trị,Bladder pain syndrome,"Viêm bàng quang (nhiễm trùng đường tiết niệu): Bác sĩ chỉ định dùng thuốc điều trị nhiễm trùng do vi khuẩn, kê đơn thuốc kháng sinh; Sỏi bàng quang: Nếu sỏi quá lớn, nghiêm trọng, cần được thực hiện phẫu thuật loại bỏ sỏi bằng các phương pháp tiên tiến; Hội chứng bàng quang nhạy cảm: Bác sĩ cho thuốc giảm đau, thuốc chống viêm không steroid, thuốc kháng histamine,..."
Hội chứng đau bàng quang,Nguyên nhân,Bladder pain syndrome,"Viêm bàng quang: do vi khuẩn, Viêm bàng quang do hóa trị, Viêm bàng quang do xạ trị; Viêm bàng quang kẽ: Đau, căng tức ở bàng quang, vùng xương chậu, Nóng, rát khi đi tiểu, tiểu nhiều hơn bình thường; Viêm bàng quang kẽ có thể do nhiều yếu tố nguy cơ như: di truyền, giới tính, yếu tố môi trường và lối sống; Sỏi bàng quang; Ung thư bàng quang; Tổn thương hoặc kích thích bàng quang; Dị ứng thực phẩm"
Tổn thương thận do thuốc,Triệu chứng,Drug-induced kidney injury,"Tổn thương mạch mạng ở các chi dưới hoặc sự đổi màu xanh của các ngón chân, Chức năng thận suy giảm kéo dài và ngày càng xấu, Tăng bạch cầu ái toan máu hoặc niệu và nồng độ bổ thể C3 thấp, Mệt mỏi, phù, giảm tiểu, tăng creatinine"
Tổn thương thận do thuốc,Điều trị,Drug-induced kidney injury,"Ngưng thuốc độc thận, hỗ trợ chức năng thận, lọc máu nếu cần"
Tổn thương thận do thuốc,Nguyên nhân,Drug-induced kidney injury,"Tuổi cao,Bệnh thận mãn tính có sẵn, Đái tháo đường, Suy tim, Đau tủy xương, Suy gan"
Hội chứng Fanconi,Triệu chứng,Fanconi syndrome,"Uống quá nhiều nước, đi tiểu quá mức bình thường; Ở trẻ em: kém phát triển, chậm lớn, chậm phát triển, mắc bệnh thận mạn tính đôi khi cần ghép thận để điều trị; Người lớn mắc bệnh thường không biểu hiện triệu chứng cho đến khi những rối loạn đã xảy ra trong thời gian dài"
Hội chứng Fanconi,Điều trị,Fanconi syndrome," Can thiệp điều trị bằng Natri bicarbonat, Người bệnh thiếu kali có thể bù kali khi cần thiết; Cần bổ sung vitamin D và phosphate giúp điều trị bệnh xương, cấy ghép thận khi trẻ diễn biến suy thận để điều trị cho trẻ"
Hội chứng Fanconi,Nguyên nhân,Fanconi syndrome,"Do di truyền (nguyên phát) là nguyên nhân chính gây bệnh; Do tiếp xúc với các loại thuốc như thuốc hóa trị, thuốc điều trị virus, các loại hóa chất, các kim loại nặng như chì, thủy ngân; Do thiếu vitamin D, tích đạm; Do các bất thường sau khi cấy ghép thận, bệnh đa u tủy"
Bệnh thận IgA,Triệu chứng,IgA nephropathy,"Triệu chứng lâm sàng: Nước tiểu có màu coca hoặc màu trà do có lẫn máu, Nước tiểu có bọt do xuất hiện protein tăng cao, Đau ở một hoặc cả hai bên lưng dưới xương sườn, Sưng ở bàn tay và bàn chân hay phù nề do giảm albumin máu, Huyết áp cao, Suy nhược cơ thể, Cảm giác mệt mỏi kéo da; Triệu chứng cận lâm sàng: Phân tích nước tiểu thấy hồng cầu tồn tại dai dẳng, Protein niệu thường xuyên hoặc ngắt quãng, Đôi khi gặp đái máu đại thể, Nồng độ IgA huyết thanh trên 350 mg/dl ở người lớn"
Bệnh thận IgA,Điều trị,IgA nephropathy,"Thuốc điều trị tăng huyết áp, Axit béo omega-3, Thuốc ức chế miễn dịch, Thuốc statin, Thuốc lợi tiểu, Biện pháp hỗ trợ điều trị"
Bệnh thận IgA,Nguyên nhân,IgA nephropathy,"Do gen: bệnh thận IgA phổ biến hơn ở một số gia đình và ở một số nhóm dân tộc nhất định như người gốc Á và Âu; Người bệnh gan: bệnh nhân xơ gan, nhiễm trùng viêm gan B và C mạn tính có nguy cơ mắc thận IgA cao; Bệnh celiac (bệnh đường ruột do gluten); Nhiễm trùng: bao gồm HIV và một số bệnh nhiễm trùng do vi khuẩn"
Hội chứng Alport,Triệu chứng,Alport syndrome,"Có máu trong nước tiểu, Suy giảm thính giác, Mờ đục giác mạc, Rối loạn cảm nhận màu sắc ở võng mạc thậm, Lọc máu hoặc ghép thận, Sử dụng máy trợ thính hoặc phẫu thuật"
Hội chứng Alport,Điều trị,Alport syndrome,"Điều trị chỉ bao gồm giám sát, kiểm soát tiến triển của bệnh và điều trị triệu chứng, Kiểm soát chặt chẽ huyết áp"
Hội chứng Alport,Nguyên nhân,Alport syndrome,"Do đột biến ở 3 gen: COL4A3, COL4A4 và COL4A5"
Thận hình móng ngựa,Triệu chứng,Horseshoe-shaped kidneys,"Nhiễm trùng đường tiết niệu; Sỏi thận: Đau sườn, Bồn chồn, Đổ mồ hôi, Buồn nôn và nôn, Máu trong nước tiểu, Thay đổi tần suất đi tiểu, Ớn lạnh"
Thận hình móng ngựa,Điều trị,Horseshoe-shaped kidneys,"Kháng sinh để điều trị nhiễm trùng cơ bản, Can thiệp phẫu thuật với sỏi thận có triệu chứng, Nếu bị thận ứ nước, bác sĩ sẽ thảo luận về một số lựa chọn điều trị không phẫu thuật hoặc phẫu thuật khác"
Thận hình móng ngựa,Nguyên nhân,Horseshoe-shaped kidneys,"Yếu tố di truyền: thận móng ngựa đôi khi liên quan đến một số hội chứng di truyền như: Trisomy 18, hội chứng Turner,...; Các yếu tố môi trường; Gián đoạn quá trình"
Hẹp khúc nối bể thận - niệu quản,Triệu chứng,Renal pelvis-ureteral junction obstruction,"Đau hông lưng và nhiễm khuẩn đường tiết niệu (sốt lạnh run, tiểu dắt buốt, tiểu đục) là triệu chứng thường gặp nhất; Tiểu máu đại thể hoặc vi thể; Triệu chứng đường tiêu hóa như buồn nôn, nôn ói; Hội chứng urê huyết cao nếu suy thận gây sụt cân, mệt mỏi, buồn nôn, nôn ói, da xanh; Thận to, khám chạm thận dương tính hoặc nhìn thấy khối u vùng hông lưng"
Hẹp khúc nối bể thận - niệu quản,Điều trị,Renal pelvis-ureteral junction obstruction,"Phẫu thuật xẻ rộng chỗ hẹp, Đặt thông niệu quản có hiệu quả tức thời trong điều trị"
Hẹp khúc nối bể thận - niệu quản,Nguyên nhân,Renal pelvis-ureteral junction obstruction,"Hẹp niệu quản bẩm sinh: hẹp khúc nối niệu quản – bể thận, niệu quản cực đại tắc nghẽn nguyên phát, hẹp miệng niệu quản, nang niệu quản tắc nghẽn; Hẹp niệu quản mắc phải: Hẹp niệu quản mắc phải được chia thành: lành tính, ác tính, do điều trị hoặc vô căn; Hẹp niệu quản do điều trị: phẫu thuật mở hay nội soi"
Viêm thận mô kẽ,Triệu chứng,Interstitial nephritis,"Viêm thận kẽ cấp tính: Triệu chứng ATIN khởi phát, đa niệu và tiểu đêm, Sốt và nổi mày đay; Viêm thận mô kẽ mãn tính: Đa niệu và tiểu đêm"
Viêm thận mô kẽ,Điều trị,Interstitial nephritis,Corticosteroid điều trị viêm thận kẽ cấp tính qua trung gian miễn dịch và đôi khi do thuốc; Điều trị cả ATIN và CTIN; Kiểm soát huyết áp và điều trị thiếu máu liên quan đến bệnh thận
Viêm thận mô kẽ,Nguyên nhân,Interstitial nephritis,"Viêm thận kẽ có thể là nguyên phát, hoặc thứ phát do tổn thương cầu thận hoặc rối loạn mạch máu; Viêm thận mô kẽ nguyên phát có thể là: Cấp tính, Mãn tính"
Hội chứng tiểu máu không triệu chứng,Triệu chứng,Asymptomatic hematuria syndrome,"Tiểu ra máu; Cơn đau ở vùng chậu, bụng dưới hoặc thắt lưng; Dấu hiệu lâm sàng: buồn nôn, nôn, sốt, ớn lạnh và những cơn đau ở bụng hoặc lưng dưới"
Hội chứng tiểu máu không triệu chứng,Điều trị,Asymptomatic hematuria syndrome,"Thuốc kháng sinh để diệt vi khuẩn; Xử lý sỏi thận, kết hợp uống thuốc để điều trị"
Hội chứng tiểu máu không triệu chứng,Nguyên nhân,Asymptomatic hematuria syndrome,Viêm bàng quang; Nhiễm trùng; Sỏi tiết niệu; U bướu thận; Phì đại tuyến tiền liệt; Bệnh thận; Vô căn
Bại não thể co cứng,Triệu chứng,Spastic cerebral palsy,"Cứng cơ, Căng cơ ở các khớp, Khó khăn khi vận động, Dáng đi bất thường, Khó giữ thăng bằng, Phản xạ quá mức"
Bại não thể co cứng,Điều trị,Spastic cerebral palsy,"Vật lí trị liệu, Thuốc giãn cơ, Phẫu thuật chỉnh hình, Tế bào gốc, Trị liệu ngôn ngữ và hoạt động, Chăm sóc tâm lý"
Bại não thể co cứng,Nguyên nhân,Spastic cerebral palsy,"Thiếu oxi khi sinh, Nhiễm trùng trong thai kỳ, Chấn thương đầu, Xuất huyết não, Đột quỵ ở trẻ sơ sinh"
